,prompt_ind,time_point,batch_ind,ind_in_batch,leading_words,ground_word,looser_method,tail_pos_tfs_0.9,specific_words_tfs_0.9,positions_tfs_0.9,probstfs_0.9,tail_pos_n_0.63,specific_words_n_0.63,positions_n_0.63,probsn_0.63,tail_pos_InTail,specific_words_InTail,positions_InTail,probsInTail
43,999,21,1,14,"ying her in the corner, he waved her over. ``Miss, how", did,tfs_0.9,12,"['come', 'long', 'many']","[9, 10, 11]","[0.033163313, 0.02480598, 0.019388314]",9,"['are', 'is', 'could']","[0, 4, 8]","[0.12899308, 0.0640079, 0.036049556]",50527,"['was', 'complexity', 'SPONSORED']","[12, 22310, 50255]","[0.0184538, 1.4747557e-08, 1.1573424e-14]"
44,999,31,3,2," that was the case. 
 There was a long and complicated paper trail", of,tfs_0.9,22,"['on', 'for', 'before']","[10, 15, 21]","[0.020363785, 0.010788176, 0.0058340994]",10,"['that', 'leading', 'between']","[0, 6, 9]","[0.1321468, 0.026967755, 0.022416662]",50527,"['I', 'Strike', 'cumbers']","[22, 21930, 50238]","[0.005755801, 1.7794243e-08, 5.0272276e-14]"
45,999,55,2,6, how much use I could get out of the bottle opener if I was a, bit,n_0.63,3,"['little', 'bit', 'regular']","[0, 1, 2]","[0.12264454, 0.031314664, 0.025240293]",256,"['good', 'giant', 'first']","[3, 125, 255]","[0.010584681, 0.0011693976, 0.0005702103]",50527,"['hand', 'Oriental', 'Iowa']","[256, 21299, 50231]","[0.0005624503, 1.7546535e-07, 1.3218387e-12]"
46,999,100,0,19," from its stand and laid it on the ground, tugging at the corners", and,tfs_0.9,8,"['as', 'and', 'until']","[4, 5, 7]","[0.057554312, 0.05462286, 0.04405643]",4,"['of', 'with', 'to']","[0, 1, 3]","[0.17467916, 0.1717481, 0.11690599]",50527,"['in', 'biography', 'STD']","[8, 21542, 50250]","[0.014488752, 2.2025395e-09, 2.2575702e-15]"
47,999,139,0,10," something about the state of the roads and sidewalks, you know, in between", the,n_0.63,3,"['the', 'all', 'a']","[0, 1, 2]","[0.14277253, 0.043583706, 0.016921502]",517,"['when', 'homes', 'morning']","[3, 257, 516]","[0.012181592, 0.00044534917, 0.00025158175]",50527,"['situations', 'arrives', 'cumbers']","[517, 20978, 50240]","[0.00025134577, 1.0758976e-06, 6.8870526e-12]"
48,999,49,2,10," your palace for, like, 10 minutes ''. 
 I murmured", under,tfs_0.9,17,"['into', 'with', 'that']","[13, 15, 16]","[0.012548636, 0.011821587, 0.011318944]",13,"['to', 'my', 'out']","[1, 7, 12]","[0.080222666, 0.034911383, 0.012562047]",50527,"['it', 'nets', 'TEXTURE']","[18, 21532, 50250]","[0.006680209, 9.4542415e-08, 3.6235343e-13]"
49,999,111,0,13," A dashing young man of 25, fatally endowed with a lack of a", sense,n_0.63,4,"['penis', 'soul', 'heart']","[0, 2, 3]","[0.13755357, 0.02217444, 0.014891077]",228,"['brain', 'moral', 'lung']","[4, 116, 227]","[0.0106642805, 0.0010449036, 0.00055115094]",50527,"['brother', 'Perl', 'SPONSORED']","[228, 22174, 50252]","[0.0005511005, 3.143007e-07, 2.3692598e-11]"
50,999,54,0,12," 
 What no one likes to talk about is that the book ’", s,n_0.63,7,"['The', 'and', 'which']","[0, 3, 6]","[0.08215392, 0.018077688, 0.010461486]",451,"['it', 'came', 'great']","[8, 226, 450]","[0.008698389, 0.0005322086, 0.00027351998]",50527,"['supposed', 'hungry', 'conservancy']","[451, 21568, 50234]","[0.00027188155, 1.6414555e-06, 6.564087e-10]"
51,999,54,3,20, It feels like I've been set up to make that connection. The endless, documentaries,n_0.63,27,"['stream', 'lines', 'loops']","[1, 14, 26]","[0.02773754, 0.0046879738, 0.0025355602]",807,"['search', 'destruction', 'explosion']","[27, 413, 806]","[0.0024495749, 0.0003961199, 0.00021510391]",50527,"['pan', 'ruled', 'respected']","[807, 21545, 50229]","[0.00021494806, 4.350735e-07, 1.2157999e-11]"
52,999,0,2,12," would remember it then either, so i decided to write it down. I", had,tfs_0.9,41,"['tried', 'am', 'took']","[37, 39, 40]","[0.006199431, 0.005908142, 0.005779299]",37,"['was', 'guess', 'wanted']","[1, 20, 36]","[0.045943044, 0.010774275, 0.0062019858]",50527,"['made', '509', 'cumbers']","[41, 23114, 50251]","[0.005615438, 7.3002915e-09, 1.5549643e-14]"
53,999,59,1,5," And, I do n't know what to expect when we arrive. The", Void,n_0.63,9,"['ship', 'inter', 'last']","[1, 5, 8]","[0.036669254, 0.009201254, 0.0062302034]",705,"['Inter', 'physical', 'shields']","[9, 356, 703]","[0.0061737075, 0.0003938898, 0.00020719669]",50527,"['announcement', 'chronically', 'Turkey']","[705, 21348, 50244]","[0.00020686972, 9.2174656e-07, 1.4365354e-11]"
54,999,97,2,10,"OOOrty ''I chuckled to myself. 
 
 As the", beam,n_0.63,15,"['beam', 'sun', 'last']","[1, 8, 13]","[0.033956233, 0.0070904596, 0.0057347617]",699,"['purple', 'bar', 'stall']","[15, 351, 697]","[0.0054577217, 0.00041087632, 0.00021696308]",50527,"['members', 'Hook', 'Stretch']","[699, 21392, 50249]","[0.00021578606, 9.4789834e-07, 9.475236e-12]"
55,999,145,1,9,"cing about the farm he grew up on, in Bavaria. How we", played,tfs_0.9,36,"['have', 'knew', 'always']","[31, 33, 35]","[0.0055025415, 0.0048295218, 0.0044872076]",31,"['were', 'used', 'never']","[0, 16, 30]","[0.07171717, 0.011261061, 0.0056641456]",50527,"['first', 'pasture', 'cumbers']","[36, 21876, 50235]","[0.0042010862, 2.615053e-08, 1.6409863e-13]"
56,999,72,2,5,igned modesty—an expression of the pride they feel for every day that their, surgeries,n_0.63,15,"['work', 'lives', 'medical']","[0, 7, 14]","[0.042583186, 0.009061366, 0.005996879]",472,"['product', 'darling', 'computers']","[15, 243, 471]","[0.0059718136, 0.00057006243, 0.00032174602]",50527,"['wards', 'militias', 'conservancy']","[472, 21570, 50254]","[0.00032147858, 4.10495e-07, 1.8444838e-12]"
57,999,36,3,6," across the glass. The ventilation system whirred to life, and the", m,n_0.63,8,"['air', 'creature', 'door']","[1, 4, 7]","[0.023152607, 0.011536996, 0.0090241805]",442,"['glass', 'engine', 'standing']","[8, 224, 441]","[0.00853005, 0.00062583317, 0.000333686]",50527,"['curtain', 'Dull', 'Avg']","[442, 21022, 50249]","[0.000333162, 4.9347324e-07, 1.3085038e-12]"
